question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
11,combination,貨物自動車運送事業法関係,,貨物自動車運送事業法の目的について、次のＡ、Ｂ、Ｃに入るべき字句を選択肢から選びなさい。貨物自動車運送事業の運営を（Ａ）なものとし、（Ｂ）を確保するとともに、事業の（Ｃ）を図る。,,,,,,公正,適正かつ合理的,輸送の安全,利用者の利益,健全な発達,迅速な処分,過労運転,事故統計,A-2;B-3;C-5,目的規定は、運営の適正・合理化、輸送の安全確保、事業の健全な発達を柱とする。,,,,
12,single,貨物自動車運送事業法関係,,交替運転者に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,交替運転者の配置は運転者本人の希望がある場合に限られる。,長距離運転又は夜間運転で疲労等により安全運転を継続できないおそれがある場合、あらかじめ交替運転者を配置する必要がある。,交替運転者は事故が発生してから手配すれば足りる。,夜間運転では疲労のおそれがあっても、交替運転者の配置を検討する必要はない。,,,,,2,交替運転者については、「長距離運転又は夜間運転で疲労等により安全運転を継続できないおそれがある場合、あらかじめ交替運転者を配置する必要がある。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,交替運転者については、「長距離運転又は夜間運転で疲労等により安全運転を継続できないおそれがある場合、あらかじめ交替運転者を配置する必要がある。,交替運転者については、「長距離運転又は夜間運転で疲労等により安全運転を継続できないおそれがある場合、あらかじめ交替運転者を配置する必要がある。,1:（1）の内容は、正答（2）「長距離運転又は夜間運転で疲労等により安全運転を継続できないおそれがある場合、あらかじめ交替運転者を配置する必要が…」が示す論点とずれています。;3:（3）の内容は、正答（2）「長距離運転又は夜間運転で疲労等により安全運転を継続できないおそれがある場合、あらかじめ交替運転者を配置する必要が…」が示す論点とずれています。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「夜間運転では疲労のおそれがあっても、交替運転者の配置を検討する必要はない。」は本問の正答（2）とは異なるため不適です。,
13,multi,貨物自動車運送事業法関係,,貨物自動車運送事業法に関する次の記述のうち、正しいものを２つ選びなさい。法令上の原則に基づいて判断しなさい。,,,,,,事故惹起運転者や初任運転者など一定の運転者には、告示で定める特別な指導を行う必要がある。,新たに選任した運行管理者には、所定の年度に基礎講習又は一般講習を受講させる必要がある。,事故惹起運転者に対する特別指導は、事故後３年以内に行えばよい。,事故に係る営業所の運行管理者に講習を受けさせる制度はない。,,,,,"1,2",正しい記述は「特別指導」と「運行管理者講習」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
14,single,貨物自動車運送事業法関係,,適性診断に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,適性診断は運転者が希望した場合だけ受診させればよい。,高齢運転者に対する適性診断は、75歳になるまで不要である。,事故惹起運転者には適性診断ではなく、口頭注意だけで足りる。,事故惹起運転者、初任運転者、高齢運転者などには、所定の適性診断を受診させる必要がある。,,,,,4,適性診断については、「事故惹起運転者、初任運転者、高齢運転者などには、所定の適性診断を受診させる必要がある。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,適性診断については、「事故惹起運転者、初任運転者、高齢運転者などには、所定の適性診断を受診させる必要がある。,適性診断については、「事故惹起運転者、初任運転者、高齢運転者などには、所定の適性診断を受診させる必要がある。,1:（1）の内容は、正答（4）「事故惹起運転者、初任運転者、高齢運転者などには、所定の適性診断を受診させる必要がある。」が示す論点とずれています。;2:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（2）「高齢運転者に対する適性診断は、75歳になるまで不要である。」は本問の正答（4）とは異なるため不適です。;3:（3）の内容は、正答（4）「事故惹起運転者、初任運転者、高齢運転者などには、所定の適性診断を受診させる必要がある。」が示す論点とずれています。,
15,truefalse_group,貨物自動車運送事業法関係,,貨物自動車運送事業法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,過積載運送が荷主の指示に基づくことが明らかで、事業者処分だけでは再発防止が困難な場合、荷主にも勧告できる。,荷主への勧告は、運転者が口頭で直接行う行政処分である。,乗務前点呼では、酒気帯びの有無、疾病・疲労等の有無、日常点検の実施又は確認について報告を求め、必要な指示を行う。,乗務前点呼では、酒気帯びの有無だけ確認すれば足り、日常点検の報告は不要である。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「荷主への勧告」「点呼」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
16,single,貨物自動車運送事業法関係,,安全情報の公表に関する次の記述のうち、誤っているものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,補助者を選任して点呼の一部を行わせる場合でも、運行管理者は補助者を指導監督する必要がある。,運行管理者個人の住所は、輸送の安全に関する公表事項である。,事業者は、輸送の安全に関する基本方針、目標及び達成状況、事故統計など一定事項を公表する。,事業者は、運行管理者に必要な権限を与え、その助言を尊重する必要がある。,,,,,2,安全情報の公表については、「事業者は、輸送の安全に関する基本方針、目標及び達成状況、事故統計など一定事項を公表する。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,安全情報の公表については、「事業者は、輸送の安全に関する基本方針、目標及び達成状況、事故統計など一定事項を公表する。,安全情報の公表については、「事業者は、輸送の安全に関する基本方針、目標及び達成状況、事故統計など一定事項を公表する。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,1:（1）の内容は、正答（2）「運行管理者個人の住所は、輸送の安全に関する公表事項である。」が示す論点とずれています。;3:安全情報の公表については、「事業者は、輸送の安全に関する基本方針、目標及び達成状況、事故統計など一定事項を公表する。;4:（4）の内容は、正答（2）「運行管理者個人の住所は、輸送の安全に関する公表事項である。」が示す論点とずれています。,
17,single,貨物自動車運送事業法関係,,事業計画変更に関する次の記述のうち、正しいものを１つ選びなさい。法令上の原則に基づいて判断しなさい。,,,,,,自動車車庫の位置及び収容能力など重要な事業計画変更には、原則として認可が必要である。,自動車車庫の位置変更は、変更後１年以内に任意で報告すればよい。,休憩又は睡眠施設の位置及び収容能力の変更は、常に届出不要である。,すべての事業計画変更は、事前認可ではなく事後届出で足りる。,,,,,1,事業計画変更については、「自動車車庫の位置及び収容能力など重要な事業計画変更には、原則として認可が必要である。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,事業計画変更については、「自動車車庫の位置及び収容能力など重要な事業計画変更には、原則として認可が必要である。,事業計画変更については、「自動車車庫の位置及び収容能力など重要な事業計画変更には、原則として認可が必要である。,2:（2）の内容は、正答（1）「自動車車庫の位置及び収容能力など重要な事業計画変更には、原則として認可が必要である。」が示す論点とずれています。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「休憩又は睡眠施設の位置及び収容能力の変更は、常に届出不要である。」は本問の正答（1）とは異なるため不適です。;4:（4）の内容は、正答（1）「自動車車庫の位置及び収容能力など重要な事業計画変更には、原則として認可が必要である。」が示す論点とずれています。,
18,multi,貨物自動車運送事業法関係,,貨物自動車運送事業法に関する次の記述のうち、正しいものを２つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,点呼で酒気帯びの有無を確認する場合は、目視等の確認のほか、アルコール検知器を用いる必要がある。,新任の運行管理者は、資格者証があれば講習を受ける必要が一切ない。,アルコール検知器は乗務前点呼だけで用いればよく、乗務後点呼では不要である。,新たに選任した運行管理者には、所定の年度に基礎講習又は一般講習を受講させる必要がある。,,,,,"1,4",正しい記述は「運行管理者講習」と「アルコール検知器」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
19,truefalse_group,貨物自動車運送事業法関係,,貨物自動車運送事業法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,事業者は、運行管理者に必要な権限を与え、その助言を尊重する必要がある。,運行管理者の助言は、法令上まったく考慮する必要がない。,乗務前及び乗務後の点呼のいずれも対面で行えない運行を含む場合、運行指示書を作成し、運転者に携行させる必要がある。,運行経路の変更があっても、運行指示書の変更記載は不要である。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「安全管理体制」「運行指示書」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
20,single,貨物自動車運送事業法関係,,貨物の積載に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,シート掛け等の落下防止措置は、雨天時だけ行えば足りる。,貨物を積載するときは、偏荷重を避け、荷崩れや落下を防止するためロープやシート等で必要な措置を講じる。,偏荷重は運転者の運転技術で補えるため、積載時に考慮する必要はない。,荷崩れ防止措置は最大積載量を超える場合だけ必要である。,,,,,2,貨物の積載については、「貨物を積載するときは、偏荷重を避け、荷崩れや落下を防止するためロープやシート等で必要な措置を講じる。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,貨物の積載については、「貨物を積載するときは、偏荷重を避け、荷崩れや落下を防止するためロープやシート等で必要な措置を講じる。,貨物の積載については、「貨物を積載するときは、偏荷重を避け、荷崩れや落下を防止するためロープやシート等で必要な措置を講じる。,1:（1）の内容は、正答（2）「貨物を積載するときは、偏荷重を避け、荷崩れや落下を防止するためロープやシート等で必要な措置を講じる。」が示す論点とずれています。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「偏荷重は運転者の運転技術で補えるため、積載時に考慮する必要はない。」は本問の正答（2）とは異なるため不適です。;4:（4）の内容は、正答（2）「貨物を積載するときは、偏荷重を避け、荷崩れや落下を防止するためロープやシート等で必要な措置を講じる。」が示す論点とずれています。,
21,combination,貨物自動車運送事業法関係,,貨物自動車運送事業法の目的について、次のＡ、Ｂ、Ｃに入るべき字句を選択肢から選びなさい。貨物自動車運送事業の運営を（Ａ）なものとし、（Ｂ）を確保するとともに、事業の（Ｃ）を図る。,,,,,,公正,適正かつ合理的,輸送の安全,利用者の利益,健全な発達,迅速な処分,過労運転,事故統計,A-2;B-3;C-5,目的規定は、運営の適正・合理化、輸送の安全確保、事業の健全な発達を柱とする。,,,,
22,single,貨物自動車運送事業法関係,,点呼に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,乗務前点呼では、酒気帯びの有無だけ確認すれば足り、日常点検の報告は不要である。,乗務後点呼では、酒気帯びの有無の確認を省略することができる。,点呼記録は営業所ごとの合計数だけ保存すれば足りる。,乗務前点呼では、酒気帯びの有無、疾病・疲労等の有無、日常点検の実施又は確認について報告を求め、必要な指示を行う。,,,,,4,点呼については、「乗務前点呼では、酒気帯びの有無、疾病・疲労等の有無、日常点検の実施又は確認について報告を求め、必要な指示を行う。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,点呼については、「乗務前点呼では、酒気帯びの有無、疾病・疲労等の有無、日常点検の実施又は確認について報告を求め、必要な指示を行う。,点呼については、「乗務前点呼では、酒気帯びの有無、疾病・疲労等の有無、日常点検の実施又は確認について報告を求め、必要な指示を行う。,1:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（1）「乗務前点呼では、酒気帯びの有無だけ確認すれば足り、日常点検の報告は不要である。」は本問の正答（4）とは異なるため不適です。;2:（2）の内容は、正答（4）「乗務前点呼では、酒気帯びの有無、疾病・疲労等の有無、日常点検の実施又は確認について報告を求め、必要な指示を行う。」が示す論点とずれています。;3:（3）の内容は、正答（4）「乗務前点呼では、酒気帯びの有無、疾病・疲労等の有無、日常点検の実施又は確認について報告を求め、必要な指示を行う。」が示す論点とずれています。,
23,multi,貨物自動車運送事業法関係,,貨物自動車運送事業法に関する次の記述のうち、正しいものを２つ選びなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,目視で酒気帯びがないと判断できれば、アルコール検知器による確認は省略できる。,休憩又は睡眠をした場合でも、その地点や日時は記録事項ではない。,点呼で酒気帯びの有無を確認する場合は、目視等の確認のほか、アルコール検知器を用いる必要がある。,乗務等の記録には、乗務の開始及び終了の地点・日時、主な経過地点、乗務距離等を記録させる。,,,,,"3,4",正しい記述は「アルコール検知器」と「乗務等の記録」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
24,single,貨物自動車運送事業法関係,,運行管理者の業務に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,異常気象時の指示は、事故が発生した後に限って行えば足りる。,運行管理者は、異常気象等により輸送の安全に支障が生じるおそれがあるとき、乗務員に適切な指示を行う。,異常気象時の運行継続可否は、現場の運転者だけが判断すればよい。,運行管理者は、輸送の安全に関する指示を行う権限を持たない。,,,,,2,運行管理者の業務については、「運行管理者は、異常気象等により輸送の安全に支障が生じるおそれがあるとき、乗務員に適切な指示を行う。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,運行管理者の業務については、「運行管理者は、異常気象等により輸送の安全に支障が生じるおそれがあるとき、乗務員に適切な指示を行う。,運行管理者の業務については、「運行管理者は、異常気象等により輸送の安全に支障が生じるおそれがあるとき、乗務員に適切な指示を行う。,1:（1）の内容は、正答（2）「運行管理者は、異常気象等により輸送の安全に支障が生じるおそれがあるとき、乗務員に適切な指示を行う。」が示す論点とずれています。;3:（3）の内容は、正答（2）「運行管理者は、異常気象等により輸送の安全に支障が生じるおそれがあるとき、乗務員に適切な指示を行う。」が示す論点とずれています。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「運行管理者は、輸送の安全に関する指示を行う権限を持たない。」は本問の正答（2）とは異なるため不適です。,
25,truefalse_group,貨物自動車運送事業法関係,,貨物自動車運送事業法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。法令上の原則に基づいて判断しなさい。,,,,,,補助者を選任して点呼の一部を行わせる場合でも、運行管理者は補助者を指導監督する必要がある。,補助者を選任した場合、運行管理者は点呼業務から完全に離れることができる。,長距離運転又は夜間運転で疲労等により安全運転を継続できないおそれがある場合、あらかじめ交替運転者を配置する必要がある。,夜間運転では疲労のおそれがあっても、交替運転者の配置を検討する必要はない。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「補助者」「交替運転者」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
26,single,貨物自動車運送事業法関係,,運行指示書に関する次の記述のうち、誤っているものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,乗務前及び乗務後の点呼のいずれも対面で行えない運行を含む場合、運行指示書を作成し、運転者に携行させる必要がある。,一定の大型貨物自動車等では、瞬間速度、運行距離及び運行時間を運行記録計により記録する必要がある。,過積載運送が荷主の指示に基づくことが明らかで、事業者処分だけでは再発防止が困難な場合、荷主にも勧告できる。,運行経路の変更があっても、運行指示書の変更記載は不要である。,,,,,4,運行指示書については、「乗務前及び乗務後の点呼のいずれも対面で行えない運行を含む場合、運行指示書を作成し、運転者に携行させる必要がある。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,運行指示書については、「乗務前及び乗務後の点呼のいずれも対面で行えない運行を含む場合、運行指示書を作成し、運転者に携行させる必要がある。,運行指示書については、「乗務前及び乗務後の点呼のいずれも対面で行えない運行を含む場合、運行指示書を作成し、運転者に携行させる必要がある。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,1:運行指示書については、「乗務前及び乗務後の点呼のいずれも対面で行えない運行を含む場合、運行指示書を作成し、運転者に携行させる必要がある。;2:（2）の内容は、正答（4）「運行経路の変更があっても、運行指示書の変更記載は不要である。」が示す論点とずれています。;3:（3）の内容は、正答（4）「運行経路の変更があっても、運行指示書の変更記載は不要である。」が示す論点とずれています。,
27,single,貨物自動車運送事業法関係,,事故記録に関する次の記述のうち、正しいものを１つ選びなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,事故記録は運転者個人が保管すれば、営業所で保存する必要はない。,物損事故であれば、事故の概要を記録する必要は一切ない。,事業用自動車に係る事故が発生した場合、事故の発生日時等を記録し、営業所で保存する必要がある。,事故記録は死亡事故の場合だけ作成すればよい。,,,,,3,事故記録については、「事業用自動車に係る事故が発生した場合、事故の発生日時等を記録し、営業所で保存する必要がある。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,事故記録については、「事業用自動車に係る事故が発生した場合、事故の発生日時等を記録し、営業所で保存する必要がある。,事故記録については、「事業用自動車に係る事故が発生した場合、事故の発生日時等を記録し、営業所で保存する必要がある。,1:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（1）「事故記録は運転者個人が保管すれば、営業所で保存する必要はない。」は本問の正答（3）とは異なるため不適です。;2:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（2）「物損事故であれば、事故の概要を記録する必要は一切ない。」は本問の正答（3）とは異なるため不適です。;4:（4）の内容は、正答（3）「事業用自動車に係る事故が発生した場合、事故の発生日時等を記録し、営業所で保存する必要がある。」が示す論点とずれています。,
28,multi,貨物自動車運送事業法関係,,貨物自動車運送事業法に関する次の記述のうち、正しいものを２つ選びなさい。安全確保の観点から判断しなさい。,,,,,,初任運転者への特別指導は、事業用自動車に乗務した後であれば時期を問わない。,乗務等の記録には、乗務の開始及び終了の地点・日時、主な経過地点、乗務距離等を記録させる。,事故惹起運転者や初任運転者など一定の運転者には、告示で定める特別な指導を行う必要がある。,乗務等の記録には、運転者名だけ記録すれば足りる。,,,,,"2,3",正しい記述は「乗務等の記録」と「特別指導」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
